"SAMPLEID","INDEX_NAME","SITE_TYPE","L1","L2","L3","L4","L5","L6"
"WAM06600-001402-DCE-2013-0721-09:47","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"WAM06600-001405-DCE-2010-0914-12:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-001405-DCE-2014-0815-10:35","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.9,0.1,0,0
"WAM06600-001418-DCE-2013-0711-11:34","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-001598-DCE-2011-0802-10:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-001598-DCE-2015-0812-08:46","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-001966-DCE-2011-0801-11:52","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.666666666666667,0.33333333,0
"WAM06600-001968-DCE-2012-0810-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.5,0.5,0,0
"WAM06600-001968-DCE-2017-0725-09:50","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999999,0.7,0.2,0,0
"WAM06600-003182-DCE-2011-0803-09:17","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,1,0,0
"WAM06600-003182-DCE-2015-0813-09:47","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.7,0.3,0,0
"WAM06600-003672-DCE-2012-0730-11:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.7,0.3,0,0
"WAM06600-003672-DCE-2017-0724-09:28","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.92857142857143,0.07142857,0,0
"WAM06600-003752-DCE-2012-0728-13:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.8,0.2,0,0
"WAM06600-003752-DCE-2017-0722-08:34","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.666666666666667,0.33333333,0
"WAM06600-003752-DCE-2017-0818-08:16","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.5,0.5,0,0
"WAM06600-004206-DCE-2013-0822-10:36","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"WAM06600-004237-DCE-2014-0716-11:33","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"WAM06600-005141-DCE-2010-0723-12:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.36691312384473,0.63308688,0,0
"WAM06600-005141-DCE-2014-0729-13:55","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
